,course_code,course title,description,curriculum_category,rank 1 competency,rank 2 competency,rank 3 competency,rank 4 competency,rank 5 competency,rank 6 competency,rank 7 competency,rank 8 competency,rank 9 competency,rank 10 competency,Rank 1 Competency Similarity Score,Rank 2 Competency Similarity Score,Rank 3 Competency Similarity Score,Rank 4 Competency Similarity Score,Rank 5 Competency Similarity Score,Rank 6 Competency Similarity Score,Rank 7 Competency Similarity Score,Rank 8 Competency Similarity Score,Rank 9 Competency Similarity Score,Rank 10 Competency Similarity Score
10,CLM725A,Social Media for FWS Employees,"This online, self-paced course is designed to provide you with an overview of how social media can be used effectively in the Service and to helpthose of you who want to start and manage social media accounts for your FWS office or program. This course will explain various policies relatingto online content and comments, photographs, and photo ownership, as well as guidelines for captioning videos to ensure Section 508 compliancy.Course Objectives:Upon completion of this course, you should be able to:• Know how social media is structured in the Service• Understand why the Service is using social media and its advantages• Understand and follow the FWS Online Content Policy• Deal with common issues (privacy and permissions) that come up when taking photographs of others, such as FWS employees and children• Follow guidelines for photo ownership (copyrights) and use• Follow guidelines for captioning videos to ensure Section 508 compliancyTarget Audience:FWS employees who want to start and manage FWS social media accountsTo take the course, follow the steps below :1. Click either the course name at the top of this description or the Details button to view the Details screen.2. On the Details screen in the right-hand corner, you will see an Enroll button. Click the Enroll button.3. Scroll down to Course link, and click on the Activity Name http://nctc.fws.gov/courses/clm/clm725a/content/resources/index.html4. The course will open in a new window.After completing the course, if you would like to receive a course completion certificate and credit in DOI Learn for the course, you will need to takethe assessment. To access the assessment:1. Click either the course name at the top of this description or the Details button to view the Details screen.2. Scroll down to Course Activities, and click on the Activity Name 'Social Media for FWS Employees Assessment.'3. Complete the assessment.4. Once you have successfully completed the assessment with an 80%, exit the assessment. To print a certificate, click the Print Certificatebutton in the right-hand corner of your screen. Or you can print a certificate from your DOI Learn Home screen by clicking the PrintCompletion Certificates: Elective Training icon.",Communications,Employee Benefits,Employee Development,Managing Human Resources,Identity Management,Manages Human Resources,Employee Relations,Workforce Planning,HR Information Systems,Client Engagement/Change Management,Information Management,0.27669480399999996,0.269631594,0.22776359300000001,0.22660552,0.224007517,0.213059738,0.20401892100000002,0.196631342,0.18608416600000002,0.184946075
11,CLM8252,"National FWS Communications, Outreach and Visitor Services Workshop","This 3-day Communications, Outreach and Visitor Services Workshop will follow a format of plenary sessions in the morning and breakoutsessions in the afternoon. Poster session included. Sessions to address current topics and trends as identified by Communications, Outreach andVisitor Services community.Objectives: At the end of the workshop the participants will be able to more effectively reach out and communicate with a diversity of audiencesregarding the USFWS and conservation of natural resources, using current best practices and state of the art tools and techniques.Participants will also be a part of the growing community of the USFWS professionals engaged through shared learning and networking on thelatest communication, outreach and visitor services practices.Target Audience: External Affairs, Project Leaders, Communication and Outreach specialists, Visitor Services staff.",Visitor Services,Communications and Media,Oral Communication (*),Communications Security Management,Customer Service (‡),Customer Service (*),External Awareness (‡),Teaching Others,Interpersonal Skills (*),Teaches Others,Public Planning,0.28335291100000004,0.229845747,0.22651048,0.219150782,0.214277446,0.194305122,0.176041931,0.164714217,0.164446443,0.15746428099999998
12,DOI-SUPV-OLT-106,Conduct and Performance-Based Actions,"Most Federal employees work hard and are great performers. However, at times, you, as a Federal supervisor, may be faced with an employeewhose performance is not acceptable or who is guilty of misconduct. The purpose of this course is to help you address and resolve poorperformance and correct employee misconduct. This course is a prerequisite for the instructor-led course “BLM/FWS/NPS Supervisory SkillsWorkshop” for new supervisors, meaning you MUST complete it before attending that course. And if you have NOT taken the on-line course“Managing Employee Performance” which covers the fundamentals of the DOI Performance Management System, you should take that coursebefore attempting this one. Neither course is required for other supervisors, but both can serve as great refreshers when you need to deal withperformance and conduct issues and haven’t looked at the rules or regulations for a while.",Leadership and Supervision,Restraint and Self-defense,Accountability,Teaches Others,Measurement and Instrumentation,Interpersonal Skills (*),Performance Management,Operations,Teaching Others,Planning and Evaluating,Technical Competence,0.257792592,0.256220877,0.22399807,0.219828233,0.210830748,0.20466055,0.20435029300000002,0.204018667,0.203876644,0.197023213
13,CSP1140,Freshwater Fish Culture,"This course is designed to familiarize participants with the basic principles, concepts and methods for the production of non-salmonid, freshwater fishes. Course topics will include collecting brood stock, spawning, egg handling, larval development, fish health management, the basics of both intensive and extensive fish culture, pond fertilization and management, harvest procedures, marking and tagging, and transport and stocking. Hands-on laboratory exercises will include egg bisection to determine developmental stage, egg enumeration, calculating the larval development index, fry counts, zooplankton sampling and identification, gut content analysis, sampling counts, and water quality analysis.  OBJECTIVES:  Enumerate green and eyed eggs Discuss water chemistry analyses and corrective measures for optimum water quality Determine the developmental stage of a green egg Calculate concentrations for both eggs and fish treatments Diagnose and correct problems in the pond culture environment Control water quality, vegetation, and unwanted organisms in the pond culture environment Recognize normal and abnormal fish behavior and the common signs of fish disease. Complete a gut content analysis to determine what fish are eating in the pond Collect, identify, and enumerate various zooplankton. Describe intensive and extensive fish culture methods for various species. Harvest and transport fish to stocking sites in good condition. Maintain hatchery production records. TARGET AUDIENCE:  Anyone interested in the culture of freshwater fishes.",Aquatic Species Biology and Conservation,Fishery Biology,Wildlife Biology,Horticultural Sciences,Soil Science,Entomology,Animal Husbandry,Botany,Hydraulic Engineering,Hydrology,Genetics,0.45407944899999997,0.35971546200000004,0.283590138,0.279686093,0.277463228,0.277405709,0.272232652,0.265093416,0.264590263,0.262465298
14,CSP2133,HACCP Planning to Prevent the Spread of Invasive Species: Train the Trainer,"This train-the-trainer course is designed to certify conservation planners in delivering a two-day training course in Hazard Analysis & CriticalControl Point (HACCP) Planning to Prevent the Spread of Invasive Species.  HACCP planning is a structured process that assesses a naturalresource management activity, identifies possible risks, and facilitates removal or reduction of non-target species. Participants will learn thefundamentals of effective communication in the classroom and explore various methods, techniques and training aids designed for adult learningstyles. To receive certification, participants will have to complete this course and assist an experienced instructor deliver a two-day HACCP trainingcourse in the field.OBJECTIVES:Upon completion of this course, participants will be able to:Apply principles of adult learningDeliver skill-based course objectives that meet the learner’s needsApply instructional objectives and lesson plans in a training sessionDemonstrate a variety of methods to enhance instructionUse visual and written aids to support instructionGuide a diverse team to develop an effective HACCP plan that will prevent the spread of non-target speciesDeliver a two-day HACCP Training courseTARGET AUDIENCE:Resource managers experienced with HACCP that are interested in becoming a certified HACCP instructor",Habitat Assessment Restoration and Management,Entomology,Fire Management,Wildlife Biology,Teaching Others,Information Resources Strategy and Planning,Information Systems Security Certification,Client Engagement/Change Management,Public Planning,Fishery Biology,Acquisition Strategy,0.290558338,0.241858661,0.24158731100000003,0.23730616300000001,0.22930911199999998,0.22848458600000002,0.226647958,0.22145289199999998,0.21686494399999998,0.216553658
15,ALC3139,An Overview of Climate-Smart Conservation,"This overview class is based on the guide Climate-Smart Conservation: Putting Adaptation Principles into Practice. This publication is the productof an expert workgroup on climate change adaptation convened by the National Wildlife Federation in collaboration with the FWS’s NationalConservation Training Center and other partners. The course is designed to provide an introduction to climate adaptation for application to on-the-ground conservation. It will provide an overview of how to craft climate-informed conservation goals, to carry out adaptation with intentionality, andhow to manage for change and not just persistence.Course Objectives: At the conclusion of this course, participants should be able to: • Explain the basic concepts of climate-smart conservation including overarching themes, key characteristics, and the cycle• Evaluate conservation goals from a climate change perspective, and align adaptation strategies with climate-informed goals• Describe the process for identifying possible adaptation options based on vulnerability information and other management considerations• Explain how to manage for climate related uncertaintyTarget Audience: Natural resource managers and conservation professionals",Ecological Adaptation,Wildlife Biology,Systems Life Cycle,Forest Management,Entomology,Public Planning,Fishery Biology,Client Engagement/Change Management,Botany,Organizational Performance Analysis,Soil Science,0.382855237,0.342354566,0.306169391,0.30305770000000004,0.291775495,0.283345193,0.27791661,0.259445608,0.253839195,0.252572626
16,CSP3173,Endangered Species Recovery Planning and Implementation,"Instruction covers the technical, policy, and practical aspects of recovery planning and implementation for threatened and endangered species. This course will enhance your ability to plan for and effectively implement conservation actions for listed trust species and their habitats. Topics covered include: statutory framework, purpose and steps of recovery plan development, how and why to involve stakeholders, working with recovery teams and partners, policies and guidance relevant to recovery, the relationship of recovery to all parts of the Endangered Species Act, 5- year reviews, the application of conservation tools such as decision analysis and adaptive management to recovery efforts, recognizing recovery and preparing for delisting, and monitoring. Case studies and exercises are included to reinforce lecture sessions. Objectives: After attending this session, students should be able to: • Discuss the statutory requirements and administrative policies relevant to recovery; Identify various means to involve stakeholders and attributes of effective recovery teams; • • Think critically about population viability of the species; • Conduct a systematic threats assessment; • Discuss the role of a recovery plan in effective implementation of recovery actions; • Identify and employ techniques for successful management of individual recovery projects; • Discuss how recovery overlaps with other agency programs (e.g., Section 7, Fisheries, Refuges); • Conduct and prepare 5-year reviews • Navigate the various databases for tracking recovery implementation and species status; and • Describe the process for delisting recovered species  Target Audience: Biologists from the U.S. Fish and Wildlife Service and the National Marine Fisheries Service who are responsible for writing and/or implementing a recovery plan for species listed as endangered or threatened under the Endangered Species Act. This course is appropriate for someone who is new to the recovery program, those who have been drafting plans and/or implementing actions for a few years, and those who have not been actively involved in the program for a few years.",Conservation Policy,Information Resources Strategy and Planning,Public Planning,Wildlife Biology,Planning and Evaluating,Ecology,Acquisition Strategy,Entomology,Forest Management,Fishery Biology,Capital Planning and Investment Assessment,0.313522309,0.293531954,0.292645514,0.269456595,0.239811778,0.237626478,0.228545785,0.225202858,0.223795131,0.21208271399999998
17,CLM7196,Management of Oil and Gas Activities On National Wildlife Refuge System Lands,"The purpose of this course is to provide U.S. Fish and Wildlife Service and other personnel with the technical, administrative, and legal informationto manage oil and gas activity throughout the National Wildlife Refuge System (NWRS). The information covered in the course includes: Legal authorities, including mineral ownership, and implementing regulations;Negotiating permits and agreements that protect surface rights;Environmental compliance requirements;Physical infrastructure of oil and gas activities;Minimizing environmental damage; andHealth and safety considerations.This course includes an overview of the types of issues that refuge personnel should consider in managing oil and gas programs, and providesexamples of procedures, protocols, and permit stipulations that have been employed successfully on refuges. In addition, students will visit an oiland gas facility located nearby in order to practice skills learned in the course in assessing an oil and gas site, including safety considerations,monitoring, permit compliance, environmental compliance, restoration and remediation. Though not a requirement, participants are requestedto provide their own hard hat, safety goggles/glasses and steel-toed boots. This class qualifies for the OSHA HAZWOPER 8-hour refresher training. You must submit proof of completion of the original OSHAHAZWOPER training in order to receive the refresher certification. Length: 4 days/32 hours (2 college credits available for completing this course.) OBJECTIVES: The participant will be able to: Describe the relationship between the surface owner (FWS) and the subsurface mineral estate owner, and list rights of each based on deedlanguage, case law, state and federal statutes and regulations.Describe the basics of oil and gas exploration, extraction and production and be conversant in terminology and equipment commonly usedby the oil and gas industry.Identify the potential environmental impacts of oil and gas activities on refuges lands, and apply techniques to avoid, minimize, or mitigatefor those impacts, and to restore and remediate affected resources when operations are completed.Determine when a particular oil and gas operator must obtain a Special Use Permit (SUP), and how to negotiate a voluntary agreementwhen a SUP is not required.Effectively convey refuge goals and priorities to oil and gas operators using communication and negotiation techniques to avoid or minimizeimpacts to trust resources.Identify pertinent health and safety concerns associated with oil and gas activities and become familiar with the methods, equipment, andsafety procedures required for accessing and monitoring oil and gas sites.TARGET AUDIENCE: This course focuses on Service law, regulations, policy and procedures. USFWS personnel involved with natural resource management orenforcement concerning oil and gas activities on NWRS lands are strongly encouraged to attend. Persons involved with acquisition of sites withhistorical or ongoing oil and gas leasing/activities should also consider attending.",Conservation Policy,Forest Management,Rangeland Management,Petroleum Engineering,Wildlife Biology,Fire Management,Fluid Dynamics and Mechanics,Information Management,Ecology,History and Archeology,Geophysics,0.249101192,0.239245772,0.237089694,0.231480747,0.22183366100000002,0.201994941,0.196915731,0.196192935,0.185359865,0.18460533
18,CLM7178,Realty Academy,"Selection of participants in this Academy is determined by a nomination process from each Regional Office. PLEASE DO NOT APPLY HERE. Discuss attendance with your supervisor, who can then provide your name to the Region to be considered for nomination. If you are nominated, your Regional Office will notify you and NCTC will follow up with enrollment information. The Realty Academy is designed to lay a working foundation for U.S. Fish and Wildlife Service (Service) realty professionals and support staff. This two week course provides an overview of the tools, resources, and processes necessary for employees to understand their roles in fulfilling the missions of the Division of Realty, the Refuge System and the Service. In addition, the Realty Academy is designed to build understanding and cooperation among the diverse realty disciplines. Objectives: 1. Describe the basic principles of Federal real estate law that affect the FWS;2.Identify key legislation, regulations, and guidance that directs Service land acquisition and disposal policies and practices;3. Describe key components and offices of the FWS Realty Program and how they fit together; and4. Define and participate in major elements of a land acquisition scenario, including planning, survey, mapping, appraisal, negotiation,acquisition, relocation, and inventory.Target Audience: Academy participants should be nominated based on the following priorities: 1) Entry-level realty and support positions (e.g., realty assistant, cartographic technician, administrative support, etc.); 2) employees in higher-graded positions who are relatively new to the Service's land acquisition program (e.g., legal instrument examiner, paralegal, land surveyor, program analyst, realty specialist, etc.) who have not previously attended the Academy; and, 3) if space is available, Department of the Interior Office of Valuation Services staff and other Refuge System employees in positions working in support of Service land protection objectives. NOTE: As a prerequisite to this academy, students are strongly encouraged to have successfully completed LED5240, 'USFWS Foundations: Discover Your Service!'",Academies,Real Estate,Surveying,Geographical Sciences,Public Planning,Geotechnical Engineering,Customer Service (*),Astronomy,Acquisition Strategy,Space Science,Landscape Architecture,0.34859973200000005,0.29371196,0.281961888,0.267918795,0.267391831,0.258614004,0.25773018600000003,0.256575227,0.24651911899999998,0.241388828
19,CSP7204,GIS Intermediate,"The GIS Intermediate course is the next logical progression after mastering the fundamentals of ArcMap. This 4.5-day course develops essential GIS skill sets and methodologies that will help conservation practitioners manage spatial data, perform spatial analyses and automate tasks. Concise presentations are followed by real world lab exercises with data from the field. Students will be introduced to data management best practices, data preparation, Geoprocessing tools and how to acquire the appropriate raster data for their project. Students will also learn how to automate complex processing steps using Model Builder and learn how to share their data and maps with other cooperating programs and partners on-line.  OBJECTIVES:  Identify and repair spatial reference issues commonly associated to geospatial data sets Manage spatial and tabular data with Geodatabases Import data from other programs such as R and MS Access Explore and utilize ArcToolbox to locate specific Geoprocessing tools Employ basic Geoprocessing overlay and extraction techniques Explore and utilize the Model Builder interface to build simple to complex models Identify and acquire raster data sets used for and land cover classification and habitat analysis Share geospatial data and maps using Google Earth and ArcGIS on-line Build expressions in Raster Calculator to create new raster layers  TARGET AUDIENCE:  Biologist, Ecologist and Planners",Geospatial Technologies,Cartography,Remote Sensing,Data Management,Geology,Financial Analysis,Geography,Soil Science,Surveying,Spatial Orientation,Classification,0.334984452,0.303507566,0.27940902100000004,0.27130726,0.269587517,0.268962324,0.266635418,0.26584577600000003,0.260519087,0.25275957600000004
